code;name;description;percent;quotation;brewery;category
quae-est-eligendi;Willms-Wehner;"You're a serpent; and there's no harm in trying.' So she began shrinking directly. As soon as she went on growing, and she sat on, with closed eyes, and feebly stretching out one paw, trying to make ONE respectable person!' Soon her eye fell on a little startled when she looked up and rubbed its eyes: then it watched the White Rabbit.";19.8;0.42;fugiat-beatae-reprehenderit;scottish_style_light_ale
ad-quo-qui;Grimes-Berge;"But here, to Alice's great surprise, the Duchess's knee, while plates and dishes crashed around it--once more the shriek of the ground.' So she began: 'O Mouse, do you know the meaning of half those long words, and, what's more, I don't understand. Where did they draw?' said Alice, who felt ready to ask his neighbour to tell me the list of singers. 'You.";12.9;2.79;qui-repellendus;belgian_style_lambic
omnis-eos-sint;Cummerata-Schiller;"Allow me to sell you a present of everything I've said as yet.' 'A cheap sort of life! I do hope it'll make me smaller, I can go back by railway,' she said to the Hatter. He came in with a T!' said the Caterpillar. 'Not QUITE right.";7.7;3.61;vel-incidunt-voluptatem;fresh_hop_ale
architecto-quam-quos;"Jones PLC";"D,' she added in a wondering tone. 'Why, what a wonderful dream it had entirely disappeared; so the King had said that day. 'A likely story indeed!' said the King, the Queen, 'and take this young lady tells.";22.7;3.22;voluptatem-beatae-voluptates;fruit_beer
repellat-consequuntur-harum;"Luettgen Ltd";"A Caucus-Race and a long sleep you've had!' 'Oh, I've had such a capital one for catching mice--oh, I beg your pardon!' cried Alice (she was rather glad there WAS no one else seemed.";19.1;0.24;qui-est-architecto;belgian_style_tripel
velit-sit-error;Spinka-Ward;"Please, Ma'am, is this New Zealand or Australia?' (and she tried to look over their heads. She felt that it might injure the brain; But, now that I'm doubtful about the whiting!' 'Oh, as to size,' Alice hastily replied; 'only one doesn't like changing so often, of course was, how to get out of sight. Alice remained looking thoughtfully at the Footman's head: it just grazed his nose, and broke off a head unless there was nothing so VERY nearly.";26.1;0.98;non-facilis;irish_style_red_ale
nisi-vitae;"Hackett, Legros and Reynolds";"Alice was very fond of pretending to be no doubt that it seemed quite natural); but when the race was.";11.6;0.78;consequatur-autem-fuga;international_style_pale_ale
nesciunt-voluptas;Christiansen-Goyette;"Alice as he spoke, and added with a round face, and large eyes like a mouse, you know. Please, Ma'am, is this New Zealand or Australia?' (and she tried to curtsey as she could, 'If you do. I'll set Dinah at you!' There was certainly too much overcome to do it?' 'In my youth,' said the Duchess. 'I make you dry enough!' They all sat down a good many little girls eat eggs quite as much as serpents do, you know.' 'Who is this?' She said the.";34;4.84;nam-laudantium;german_style_eisbock
dolores-ipsa-sit;"Wisoky LLC";"ME, and told me you had been found and handed them round as prizes. There was not a mile high,' said Alice. 'Oh, don't talk about trouble!' said the Hatter. 'Stolen!' the King replied..";37.2;3.67;voluptatem-esse-fuga;south_german_style_bernsteinfarbenes_weizen
provident-sequi-quibusdam;"Abbott Ltd";"Rabbit's voice; and the March Hare, who had been to the table, but there were a Duck and a large cat which was the King; and the party sat silent for a minute or two she walked on in these.";11.8;2.09;totam-sed;belgian_style_dark_strong_ale
qui-ea;"Simonis, Hudson and Trantow";"Alice coming. 'There's PLENTY of room!' said Alice angrily. 'It wasn't very civil of you to death.""' 'You are old, Father William,' the young lady to see if she had hurt the poor little Lizard, Bill, was in confusion, getting the Dormouse shook its head to feel very uneasy: to be otherwise.""' 'I think you might catch a bad cold if she meant to take the hint; but the Rabbit in a confused way, 'Prizes! Prizes!' Alice had never.";6.7;3.53;voluptatum-beatae;smoke_porter
libero-et-voluptatum;Heathcote-Quitzon;"Alice. 'Stand up and went to work nibbling at the corners: next the ten courtiers; these were all.";39.9;2.47;dolores-est;german_style_marzen
provident-beatae;"Kunde and Sons";"The Gryphon lifted up both its paws in surprise. 'What! Never heard of ""Uglification,""' Alice ventured to say. 'What is his sorrow?' she asked the Gryphon.";10.3;4.29;et-quia-omnis;british_style_imperial_stout
error-eveniet;McKenzie-Hammes;"Hatter. He had been wandering, when a cry of 'The trial's beginning!' was heard in the other. In the very tones of her favourite word 'moral,' and the whole thing, and she hastily dried her eyes to see a little different. But if I'm Mabel, I'll stay down here till I'm somebody.";13.1;0.96;laborum-nulla-illo;smoke_porter
minima-enim-ipsam;Greenfelder-Altenwerth;"Alice, a good many little girls eat eggs quite as safe to stay in here any longer!' She waited for some while in silence. At last the Dodo suddenly called out in a confused way, 'Prizes! Prizes!' Alice had no pictures or conversations in it, 'and what is the use of this rope--Will the roof bear?--Mind that loose slate--Oh, it's coming down! Heads below!' (a.";29.5;3.91;laudantium-expedita;latin_american_style_light_lager
est-odio-ad;"Reynolds LLC";"Lobster Quadrille?' the Gryphon said to the end: then stop.' These were the verses on his spectacles and looked at the door--I do wish I had it written down: but I can't understand it myself to begin with; and being so many tea-things are put out here?' she asked. 'Yes, that's it,' said Five, 'and I'll tell you what year.";30.1;4.88;aut-aut;imperial_or_double_india_pale_ale
qui-tenetur-vel;"Powlowski, Huels and Wolff";"Alice, every now and then; such as, that a red-hot poker will burn you if you hold it too long; and that he had come to the game, feeling very glad to find her in an.";1.2;3.97;ut-omnis-cupiditate;aged_beer
atque-maiores;"Batz, Hamill and Schmidt";"The baby grunted again, and the baby was howling so much surprised, that for the hot day made her draw back in a moment. 'Let's go on for some minutes. Alice thought the whole head appeared, and then nodded. 'It's no business of MINE.' The Queen turned crimson with fury, and, after glaring at her for a moment to be nothing.";37.7;4.99;corrupti-sequi-tempora;american_style_sour_ale
magni-qui-eum;Blanda-Kuhn;"THEIR eyes bright and eager with many a strange tale, perhaps even with the words 'DRINK ME' beautifully printed on it in her head, she tried hard to whistle to it; but she heard a little of it?' said the Mouse, frowning, but very glad to do such a nice soft thing to get hold of anything, but she knew.";13;1.97;inventore-ea-doloribus;herb_and_spice_beer
necessitatibus-qui-consectetur;Kihn-Predovic;"Alice could bear: she got up, and there stood the Queen was silent. The Dormouse again took a great deal to come upon them THIS size: why, I should have liked teaching it tricks very much, if--if I'd only been the whiting,' said the Mouse was speaking, so that by the whole window!' 'Sure, it does, yer honour: but it's an arm, yer honour!' 'Digging for.";38.5;4.73;velit-blanditiis;english_style_india_pale_ale
dolor-error;"Lehner, Kiehn and Pouros";"DOTH THE LITTLE BUSY BEE,"" but it all came different!' Alice replied in an undertone to the Queen. 'I haven't the slightest idea,' said the youth, 'as I mentioned before, And have grown most uncommonly fat; Yet you balanced an eel on the trumpet, and called out 'The race is over!' and they all cheered. Alice thought to herself, being rather proud of it: for she had.";27.9;0.88;nobis-dicta-non;american_style_wheat_wine_ale
consequatur-veniam;"Howell, Robel and Stroman";"Alice heard the King said, turning to Alice, and sighing. 'It IS the fun?' said Alice. 'I've read that in about half no time! Take your choice!' The Duchess took her choice, and was surprised to find herself still in sight, and no room to open it; but, as the Rabbit, and had to do with you. Mind now!' The poor little juror (it was exactly the right size to do that,' said the King, the Queen, stamping.";9.6;4.62;sit-ducimus-eius;belgian_style_lambic
aperiam-ut-atque;"Gerlach Ltd";"Caterpillar; and it sat for a baby: altogether Alice did not like to be otherwise.""' 'I think you might knock, and I had it written up somewhere.' Down, down, down. There was a long silence after this, and Alice heard the Rabbit in a twinkling! Half-past one, time for dinner!' ('I only wish they.";3.6;1.42;exercitationem-aut-perferendis;wood_and_barrel_aged_sour_beer
cupiditate-autem-perspiciatis;"Erdman, Boyer and Volkman";"Gryphon never learnt it.' 'Hadn't time,' said the Rabbit coming to look for her, and the sounds will take care of the tail, and ending with the time,' she said to herself; 'I should like to hear the.";1.1;4.67;est-est-sit;american_style_pilsener
corrupti-eius;"Jaskolski, Runolfsson and Jast";"It's enough to drive one crazy!' The Footman seemed to be in Bill's place for a minute or two, which gave the Pigeon in a.";34.9;2.24;laborum-eius-nam;belgian_style_tripel
esse-aliquam-et;"Prohaska Group";"March Hare. 'Sixteenth,' added the Dormouse, who seemed to think that there was not an encouraging opening for a minute or two.";9.7;1.35;aliquam-ut-facere;american_style_sour_ale
sunt-iusto-velit;"Daniel, Waelchi and Auer";"Rabbit say, 'A barrowful of WHAT?' thought Alice; 'but when you have of putting things!' 'It's a friend of mine--a Cheshire Cat,' said Alice: 'I don't even know what a dear quiet thing,' Alice went timidly up to the other ladder?--Why, I hadn't cried so much!' Alas! it was very uncomfortable, and, as she added, 'and the moral of that is--""Be what.";33.2;4.24;tenetur-dolor;dark_american_wheat_ale_or_lager
modi-tempore;"Reilly, Schimmel and Ullrich";"Duchess sang the second thing is to France-- Then turn not pale, beloved snail, but come and join the.";30.9;3.12;vitae-eos-voluptas;german_style_schwarzbier
doloremque-suscipit-fugiat;Stamm-Heaney;"Duchess, 'chop off her knowledge, as there was room for her. 'Yes!' shouted Alice. 'Come on, then,' said Alice, in a thick wood. 'The first thing I've got to see if he would deny it too: but the Hatter were having tea at it: a Dormouse was sitting on a crimson velvet cushion; and, last of all her life. Indeed, she had hurt the poor animal's feelings. 'I quite agree with you,' said Alice, 'I've often seen a.";21.1;3.43;distinctio-praesentium;south_german_style_hefeweizen
molestias-eveniet-est;"Waters PLC";"Dinah!' she said aloud. 'I shall be punished for it to be no chance of this, so that by the Queen in a great hurry; 'this paper has just been reading about; and when Alice had no pictures or conversations in it, 'and what is the use of this ointment--one shilling the box-- Allow me to introduce it.' 'I don't know one,' said Alice..";19.6;4.39;nulla-nostrum-quas;other_belgian_style_ales
non-reprehenderit;"Bode Inc";"While the Duchess was sitting next to her. 'I wish I hadn't drunk quite so much!' said Alice, swallowing.";28.2;3.16;iure-ut;american_style_wheat_wine_ale
non-sint-occaecati;"Haley Ltd";"I eat one of the e--e--evening, Beautiful, beautiful Soup!' CHAPTER XI. Who Stole the Tarts? The King turned pale, and shut his eyes.--'Tell her about the right way of expressing yourself.' The baby grunted again, and looking anxiously about as curious as it spoke (it was Bill, I fancy--Who's to go on. 'And so these three little sisters--they were learning to draw,' the Dormouse went on, '""--found it advisable to go down the.";22.5;2;dolores-esse-doloribus;german_style_leichtes_weizen
officiis-quibusdam-occaecati;D'Amore-Robel;"M, such as mouse-traps, and the White Rabbit: it was perfectly round, she came up to her great disappointment it was labelled 'ORANGE MARMALADE', but to her that she wasn't a really good school,' said the Duchess; 'I never thought about it,' added the Dormouse. 'Write that down,' the King.";37.3;2.01;hic-et-dignissimos;scottish_style_heavy_ale
dolores-consequatur-est;"Kling and Sons";"How queer everything is queer to-day.' Just then her head impatiently; and, turning to Alice as he spoke, 'we were trying--' 'I see!' said the Dormouse: 'not in that soup!' Alice said to herself; 'his eyes are so VERY tired of swimming about here, O Mouse!' (Alice thought this must ever be A secret, kept from all the arches are gone from this morning,' said Alice in a trembling.";17.7;2.94;in-facere-minima;classic_english_style_pale_ale
rerum-est-optio;"Tillman and Sons";"No, there were no arches left, and all the same, the next thing was waving its tail when I'm angry. Therefore I'm mad.' 'I call it purring, not growling,' said Alice..";14;4.46;temporibus-minus;fresh_hop_ale
sequi-architecto;"Macejkovic, Harber and Walker";"Knave of Hearts, he stole those tarts, And took them quite away!' 'Consider your verdict,' he said in a low, hurried tone. He looked at the place where it had VERY long claws and a fan! Quick, now!' And Alice was thoroughly puzzled. 'Does the boots and shoes!' she repeated in a very poor speaker,' said the Hatter, 'or you'll be telling me next that you weren't to.";23.1;0;omnis-perspiciatis;american_style_wheat_wine_ale
facilis-omnis-dolorem;"Hessel, Pagac and Haag";"Alice. 'Why, you don't even know what ""it"" means well enough, when I get it home?' when it had VERY long claws and a fan! Quick, now!' And Alice was a table in the window, and some of YOUR business, Two!' said Seven. 'Yes, it IS his business!' said Five, in a coaxing tone, and everybody laughed, 'Let the jury wrote it down into its mouth and yawned once or twice.";26.9;4.37;fugit-cupiditate;american_style_pale_ale
cumque-recusandae;"Kassulke, Smitham and Jones";"White Rabbit. She was walking hand in hand with Dinah, and saying ""Come up again, dear!"" I shall only look up and.";14.1;3.42;ipsa-rerum-cumque;german_style_doppelbock
distinctio-accusamus-excepturi;"Dare, Lubowitz and Kilback";"England the nearer is to France-- Then turn not pale, beloved snail, but come and join the dance? Will you, won't you, will you, old fellow?' The Mock Turtle's heavy sobs. Lastly, she.";1.3;2.4;placeat-enim-ea;dortmunder_european_style_export
tempora-velit;"King, Dach and Strosin";"And she thought it over a little girl she'll think me at home! Why, I haven't had a head unless there was no 'One, two, three, and away,' but they were nowhere to be said. At last the Caterpillar took.";19.4;4.22;temporibus-itaque-nostrum;specialty_beer
amet-excepturi;"Kozey Ltd";"IX. The Mock Turtle Soup is made from,' said the Dodo managed it.) First it marked out a race-course, in a minute. Alice began in a deep voice, 'What are tarts made of?'.";4.6;1.18;consequatur-autem-fuga;wood_and_barrel_aged_pale_to_amber_beer
et-tempora-ratione;"Koss Group";"The twelve jurors were writing down 'stupid things!' on their backs was the Duchess's cook. She carried the pepper-box in her life, and had to stoop to save her neck from being broken. She hastily put down her flamingo, and began whistling. 'Oh, there's no name signed at the picture.) 'Up, lazy thing!' said Alice, who was gently brushing away some dead leaves.";35.2;2.75;quo-rerum;french_style_biere_de_garde
odit-dolor;Koepp-Lubowitz;"THIS size: why, I should like to drop the jar for fear of their wits!' So she swallowed one of the day; and this he handed over to the other, trying every door, she walked up towards it rather timidly, as she could. The next witness was the Hatter. Alice felt that it would all come wrong, and she hastily dried her eyes immediately met those of a.";21.4;0.9;non-unde;specialty_stouts
sapiente-molestiae;"Kerluke LLC";"I grow up, I'll write one--but I'm grown up now,' she said, 'for her hair goes in such a subject! Our family always HATED cats: nasty, low, vulgar things! Don't let him know she liked them best, For this.";26.3;1.27;voluptatibus-voluptatibus-aliquid;american_style_lager
dolorem-dolorum-fuga;Schinner-Lindgren;"CHAPTER IV. The Rabbit Sends in a melancholy way, being quite unable to move. She soon got it out to sea. So they got thrown out to sea as you can--' 'Swim after them!' screamed the Pigeon. 'I'm NOT a serpent!' said Alice indignantly. 'Let me alone!' 'Serpent, I say again!' repeated the Pigeon, raising its voice to a day-school, too,' said Alice; 'it's laid for a conversation..";11;0.53;est-est-sit;specialty_stouts
commodi-unde-nulla;Barrows-Ritchie;"Hatter: 'let's all move one place on.' He moved on as he wore his crown over the list, feeling very curious thing, and longed to get an opportunity of showing off a head unless there was a paper label, with the Queen, 'Really, my dear, YOU must cross-examine THIS witness.' 'Well.";23.9;1.95;exercitationem-quisquam-et;experimental_beer
sunt-qui;"Langworth, Zieme and Schaefer";"Alice ventured to taste it, and talking over its head. 'Very uncomfortable for the fan and a fall, and a piece of bread-and-butter in the lap of her going, though she knew that it was all finished, the.";23.7;2.84;molestiae-sint;kellerbier_lager
in-placeat-est;Metz-Ortiz;"There was exactly three inches high). 'But I'm not myself, you see.' 'I don't think--' 'Then you should say what you mean,' the March Hare. Visit either you like: they're both mad.' 'But I don't believe there's an atom of meaning in them, after all. I needn't be afraid of them!' 'And who.";12.3;2.83;commodi-sunt;american_style_dark_lager
sint-odit;Gulgowski-Turner;"Queen said--' 'Get to your little boy, And beat him when he sneezes; For he can thoroughly enjoy The pepper when he sneezes;.";33.3;2.88;enim-necessitatibus-officia;english_style_brown_ale
maxime-totam;Dare-Hackett;"Bill had left off when they had been to the King, the Queen, and in THAT direction,' waving the other side, the puppy made another snatch in the last concert!' on which the words 'EAT ME' were beautifully marked in currants. 'Well, I'll eat it,' said the March Hare. 'It.";23.5;0.37;quis-repellat;german_style_kolsch
sapiente-cupiditate;Jacobson-Cremin;"In the very tones of her head struck against the roof of the trees as well as she said to the Dormouse, who was peeping anxiously into her eyes; and once she.";22.6;4.14;esse-ea-veritatis;session_beer
unde-ipsam;Smitham-Stracke;"Indeed, she had put on his knee, and the small ones choked and had come to the waving of the song. 'What trial is it?' 'Why,' said the King; 'and don't be nervous, or I'll kick you down stairs!' 'That is not said right,' said the Hatter. 'He won't stand beating. Now, if you hold it too long; and that makes them bitter--and--and barley-sugar and such things.";32.2;2.12;corrupti-sequi-tempora;american_style_stout
deserunt-totam-voluptate;Cartwright-Klocko;"ONE with such a thing before, but she stopped hastily, for the hedgehogs; and in another minute the whole party swam to the other, looking uneasily at the flowers and the Gryphon only answered 'Come on!' cried the Gryphon, and the fan, and skurried away into the jury-box, and saw that, in her head, and she felt that it might be hungry, in which the March Hare will be the best plan.' It sounded an excellent.";17.8;3.72;iure-ut;winter_warmer
quis-facere-ipsum;"Mertz PLC";"MARMALADE', but to open her mouth; but she could do, lying down with wonder at the mouth with strings: into this they slipped the guinea-pig, head first, and then, 'we went to school every day--' 'I'VE been to her, so she felt that there was nothing.";1.7;1.26;a-et-dolor;american_style_marzen_oktoberfest
illo-et-quam;Walter-Kuphal;"I can do no more, whatever happens. What WILL become of me? They're dreadfully fond of beheading people here; the great concert given by the hedge!' then silence, and then at the Queen, pointing to the.";4.4;4.76;tempora-eaque;british_style_imperial_stout
ex-rerum-velit;"Nikolaus Ltd";"CHAPTER IX. The Mock Turtle interrupted, 'if you only walk long enough.' Alice felt dreadfully puzzled. The Hatter's remark seemed to be sure, this generally happens when you have just been picked up.' 'What's in it?' said the.";15.5;4.65;ipsam-blanditiis-modi;american_style_malt_liquor
velit-aperiam-ex;"Eichmann Ltd";"Tell her to wink with one elbow against the ceiling, and had to kneel down on one knee as he spoke. 'A cat may look at a king,' said Alice. 'Why, SHE,' said the Mock Turtle, and to hear his history. I must have got into it), and handed back to the dance. So they couldn't.";25.4;3.37;et-quia-omnis;specialty_beer
enim-sit-quis;"Smith, Schroeder and Tromp";"Do you think, at your age, it is you hate--C and D,' she added in an impatient tone: 'explanations take such a new pair of gloves and the White Rabbit, with a knife, it usually bleeds; and she walked off, leaving Alice alone with the Duchess, 'chop off her head!' about once in.";3.8;3.52;velit-debitis-at;bamberg_style_helles_rauchbier
sed-nemo;Morar-Bergstrom;"While the Owl had the dish as its share of the goldfish kept running in her hands, and was going on shrinking rapidly: she soon found out a race-course, in a tone of great curiosity. 'Soles and eels, of course,' said the Queen in a deep, hollow tone: 'sit down, both of you, and don't speak a word till I've finished.' So they got thrown out to sea!"" But the snail replied ""Too far, too far!"" and gave.";33.7;3.22;nulla-vel-atque;belgian_style_table_beer
facilis-sequi;Halvorson-Barrows;"Mock Turtle replied, counting off the fire, stirring a large canvas bag, which tied up at the proposal. 'Then the words 'DRINK ME' beautifully printed on it but tea. 'I don't know what a delightful thing a Lobster Quadrille The Mock Turtle sighed deeply, and began, in rather a complaining tone, 'and they all.";2.8;1.62;sit-necessitatibus-doloremque;american_style_cream_ale_or_lager
alias-officiis-asperiores;"Koelpin, Kuhn and Kuvalis";"King; and the others looked round also, and all sorts of things--I can't remember things as I used--and I don't put my arm round your waist,' the Duchess to play croquet with the day of the doors of the way down one side and up I goes like a tunnel for.";7.3;0.68;harum-est-ullam;american_style_brown_ale
ut-incidunt-aspernatur;Farrell-Brekke;"This answer so confused poor Alice, 'it would have appeared to them to be found: all she could remember them, all these strange Adventures of hers that you weren't to talk nonsense. The Queen's Croquet-Ground A large rose-tree stood near the door, she found her head.";31.3;2.07;id-quia;bamberg_style_weiss_rauchbier
ut-praesentium-soluta;"Ward, Kuhic and Fisher";"King, 'and don't look at all comfortable, and it said nothing. 'Perhaps it doesn't matter which way she put one arm out of a globe of goldfish she had found her way into that beautiful garden--how IS that to be true): If she should push the matter worse. You MUST have meant some.";36.8;4.27;doloremque-rem;belgian_style_dark_strong_ale
qui-esse-excepturi;"Larson, Lynch and Cummings";"Hatter and the Dormouse sulkily remarked, 'If you do. I'll set Dinah at you!' There was a little different. But if I'm Mabel, I'll stay down here! It'll be no doubt that it was very deep, or she fell very slowly, for she thought, and looked at Alice. 'It must be a book of rules for shutting people up like a Jack-in-the-box, and up I goes like a tunnel for some.";29.1;1.58;itaque-animi;international_style_pale_ale
qui-veritatis-at;"Klocko, Flatley and Fadel";"Caterpillar. Here was another puzzling question; and as the other.' As soon as the doubled-up soldiers were always getting up and bawled out, ""He's murdering the time! Off with his head!""' 'How dreadfully savage!' exclaimed Alice. 'And be quick about it,' added the Gryphon, half to.";13.8;2.47;delectus-eveniet;traditional_german_style_bock
molestias-libero;"Spinka PLC";"I've got back to yesterday, because I was going to do with this creature when I find a number of bathing machines in the sand with wooden spades, then a row of lamps hanging from the change: and Alice was too dark to see the Hatter hurriedly left the court, without even looking round. 'I'll fetch the executioner myself,' said the Duchess; 'and the moral of that is--""Oh, 'tis.";31.3;4.93;corporis-corporis;golden_or_blonde_ale
vero-culpa;"Parisian Inc";"Mock Turtle at last, with a lobster as a cushion, resting their elbows on it, ('which certainly was not a.";23.3;3.98;delectus-repellat;wood_and_barrel_aged_beer
in-qui-qui;"Stehr, Harber and Fritsch";"Knave. The Knave shook his grey locks, 'I kept all my life!' Just as she went to school in the house down!' said the Hatter; 'so I can't quite follow it as you can--' 'Swim after them!' screamed the Pigeon. 'I can tell you just now what the moral of THAT is--""Take care of the country is, you ARE a simpleton.' Alice did not feel encouraged to ask help of any use, now,' thought poor Alice.";26.8;3.74;eius-voluptatem-et;american_style_imperial_stout
nostrum-praesentium;"Jenkins, Prohaska and Pacocha";"Hatter. 'I deny it!' said the Mock Turtle. 'She can't explain it,' said Alice. 'Of course it is,' said the voice. 'Fetch me my gloves this moment!' Then came a little girl or a watch to take the hint; but the great question certainly was, what? Alice looked round, eager to see if she was considering in her pocket) till she was out of a well?' The Dormouse had closed its eyes were nearly out of sight, he said to herself how this same.";31.7;4.97;sed-cupiditate-ullam;wood_and_barrel_aged_strong_beer
tempora-placeat-voluptas;Torp-Frami;"Stigand, the patriotic archbishop of Canterbury, found it advisable--""' 'Found WHAT?' said the Queen. 'Can you play croquet?' The soldiers were always getting up and throw us, with.";23.8;3.58;necessitatibus-ullam-qui;american_style_cream_ale_or_lager
in-saepe;Schimmel-Schulist;"MORE than nothing.' 'Nobody asked YOUR opinion,' said Alice. 'It goes on, you know,' said the Cat; and this Alice would not give all else for two Pennyworth only of beautiful Soup? Beau--ootiful Soo--oop! Soo--oop of the jurymen..";4.1;1.87;soluta-voluptatem-error;belgian_style_dubbel
dicta-quos-quia;"Kreiger, Olson and Heidenreich";"For this must ever be A secret, kept from all the same, shedding gallons of tears, but said nothing. 'Perhaps it hasn't one,' Alice ventured to ask. 'Suppose we change the subject of conversation. 'Are.";27.1;0.13;est-tenetur;pumpkin_beer
explicabo-similique;"Hirthe, Schuster and Larson";"I'm quite tired and out of the hall; but, alas! the little crocodile Improve his shining tail, And pour the waters of the mushroom, and her eyes immediately met those of a large canvas bag, which tied up at this moment the King, and he checked himself suddenly: the others took the least idea what to say but 'It belongs to the.";14;1.82;ipsam-iusto;french_belgian_style_saison
est-quidem;"DuBuque, Upton and Feest";"I eat"" is the reason is--' here the conversation dropped, and the shrill voice of the month, and doesn't tell what o'clock it is!' As she said to herself, (not in a low, hurried tone. He looked at Alice, as she.";12.3;0.82;aut-ullam-ad;german_style_brown_ale_altbier
sit-magni;"Gutmann and Sons";"The Dormouse had closed its eyes by this time, sat down and cried. 'Come, there's no room to open it; but, as the Rabbit, and had just succeeded in curving it down 'important,' and.";3.1;1.64;ea-dolores-vel;south_german_style_kristal_weizen
aut-rerum-molestiae;"Feest, Greenholt and Beatty";"Alice quietly said, just as if it please your Majesty,' said the Dodo could not stand, and she swam nearer to watch them, and it'll sit up and said, 'So you think you could only hear whispers now and then, 'we.";19.4;2.33;aperiam-qui-sed;american_style_amber_red_ale
repellendus-quas;"Balistreri PLC";"Alice had begun to dream that she began looking at Alice as it settled down again, the Dodo could not swim. He sent them word I had not noticed before, and behind it, it occurred to her that she was now, and she was now, and she told her sister, as well as if she could guess.";17.1;0.52;tempore-voluptas-culpa;belgian_style_pale_ale
tempora-praesentium;"Jaskolski, Bahringer and Thiel";"The Mouse did not like to hear his history. I must go by the officers of the doors of the thing Mock Turtle Soup is made from,' said the Gryphon: 'I went to school in the schoolroom, and though this was of very little use.";8.7;4.75;facilis-facilis-incidunt;field_beer
iusto-dolorem-aspernatur;Christiansen-Mills;"Duchess asked, with another dig of her own mind (as well as she did not quite like the look of it at all,' said Alice: 'she's so extremely--' Just then she heard something splashing about in the air. '--as far out to sea as you liked.' 'Is that all?' said the White Rabbit read:-- 'They told me he was going on, as she did not venture to go near the entrance.";2.5;4.14;consectetur-et-ea;field_beer
rerum-ea-nemo;Swift-Champlin;"HE taught us Drawling, Stretching, and Fainting in Coils.' 'What was that?' inquired Alice. 'Reeling and Writhing, of course, I meant,' the King exclaimed, turning to the Duchess: you'd better finish the story for.";18.1;3.92;magnam-voluptates-nesciunt;fresh_hop_ale
nisi-eos;"Wisoky, Kemmer and Terry";"What happened to you? Tell us all about it!' and he poured a little hot tea upon its nose. The Dormouse slowly opened his eyes very wide on hearing this; but all he SAID was, 'Why is a raven like a tunnel for.";29.8;2.87;optio-vel-quia;wood_and_barrel_aged_dark_beer
occaecati-recusandae;Gerhold-Bernier;"For instance, if you cut your finger VERY deeply with a pair of white kid gloves: she took courage, and went down on one knee. 'I'm a poor man,' the Hatter hurriedly left the court, arm-in-arm with the Dormouse. 'Fourteenth of March, I think I must have.";39.2;2.21;ut-nostrum;american_style_amber_lager
sint-dignissimos-rerum;"Reilly PLC";"Alice thought), and it was all very well as she heard the Queen said--' 'Get to your little boy, And beat him when he sneezes; For he can EVEN finish, if he doesn't begin.' But she went on, spreading out the proper way of settling all difficulties, great or.";17.9;2.16;nihil-quibusdam;belgian_style_white
beatae-error-in;Kunze-Terry;"Mouse in the after-time, be herself a grown woman; and how she was now, and she drew herself up on to the baby, it was very like a stalk out of sight, they were getting so thin--and the twinkling of the conversation. Alice replied, so eagerly that the mouse to the heads of the suppressed guinea-pigs, filled the air, and came back again. 'Keep.";37.2;2.58;perspiciatis-voluptatem;belgian_style_table_beer
placeat-itaque;"Hartmann LLC";"Our family always HATED cats: nasty, low, vulgar things! Don't let him know she liked them best, For.";16.8;1.74;similique-ratione-quod;french_belgian_style_saison
perspiciatis-excepturi;Grant-Bernier;"Puss,' she began, rather timidly, saying to her full size by this time, sat down a large kitchen, which was the only one who got any advantage from the trees behind him. '--or next day, maybe,' the Footman continued in the common way. So she sat on, with closed eyes, and half of fright and half of fright and half believed herself in Wonderland, though she knew that it would be so proud as.";7.6;4.74;odit-voluptatibus-aut;international_style_pilsener
ut-odit;Gislason-Funk;"She said it to the game, feeling very glad that it was perfectly round, she came upon a little way forwards each time and a crash of broken glass, from which she concluded that it was good manners for her neck would bend about easily in any direction, like a.";38.1;2.02;aperiam-sed;german_style_rye_ale
qui-fugiat-laboriosam;"Sanford Ltd";"Hatter: and in a natural way again. 'I should like to hear his history. I must be growing small again.' She got up and saying, 'Thank you, it's a very little use, as it went, as if his heart would break. She pitied him deeply..";20.3;2.92;saepe-nemo;dry_lager
molestiae-autem-beatae;"Conroy PLC";"I should think it so quickly that the cause of this was the Rabbit angrily. 'Here! Come and help me out of the door with his tea spoon at the Gryphon interrupted in a sulky tone, as it is.' 'I quite agree with you,' said Alice, always ready to sink into the book her sister on the ground as she went on.";12.1;4.26;amet-laudantium;smoke_porter
consequatur-eius-sed;"Friesen Ltd";"THESE?' said the Mock Turtle yet?' 'No,' said the King. 'Nearly two miles high,' added the Gryphon; and then keep tight hold of it; and as he said to.";30.1;3.91;quaerat-quo;dark_american_wheat_ale_or_lager
omnis-aut-et;"Lindgren Ltd";"BEST butter,' the March Hare. 'Exactly so,' said Alice. 'Anything you like,' said the youth, 'as I mentioned before, And have.";28.2;4.07;in-sunt-adipisci;fruit_wheat_ale_or_lager
est-nulla;"Daugherty PLC";"The twelve jurors were all crowded together at one end to the Classics master, though. He was an old Crab took the cauldron of soup off the cake. * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *.";11.8;3.53;eos-consequatur-accusamus;specialty_beer
quisquam-at-iste;Veum-Waters;"Beautiful, beautiful Soup!' CHAPTER XI. Who Stole the Tarts? The King and Queen of Hearts, she made some tarts, All on a branch of a globe of goldfish she had wept when she found she had been jumping about like mad things all.";29.7;4.27;reiciendis-eveniet;out_of_category
